KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3,FilePath
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest001/ses-1/anat/sub-colornest001_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest031/ses-1/anat/sub-colornest031_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest059/ses-1/anat/sub-colornest059_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest063/ses-1/anat/sub-colornest063_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest105/ses-1/anat/sub-colornest105_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest127/ses-1/anat/sub-colornest127_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1,datatype-anat_reconstruction-refaced_suffix-T1w,1,7,176,256,256,0.00302,,8,False,190,anat,0,1.0,True,0.75,,2.6,,False,0.9999997615814209,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest182/ses-1/anat/sub-colornest182_ses-1_rec-refaced_T1w.nii.gz
acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_suffix-T1w__1,acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_suffix-T1w,1,5,176,256,256,0.00302,,8,False,5,anat,0,1.0,False,0.75,,2.6,,False,1.0,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest012/ses-1/anat/sub-colornest012_ses-1_acq-VARIANTObliquity_rec-refaced_T1w.nii.gz
acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_suffix-T1w__1,acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_suffix-T1w,1,5,176,256,256,0.00302,,8,False,5,anat,0,1.0,False,0.75,,2.6,,False,1.0,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest102/ses-1/anat/sub-colornest102_ses-1_acq-VARIANTObliquity_rec-refaced_T1w.nii.gz
acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_suffix-T1w__1,acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_suffix-T1w,1,5,176,256,256,0.00302,,8,False,5,anat,0,1.0,False,0.75,,2.6,,False,1.0,1.0,1.0,/gpfs/fs001/cbica/projects/RBC/testing/colornest/bidsdatasets/sub-colornest114/ses-1/anat/sub-colornest114_ses-1_acq-VARIANTObliquity_rec-refaced_T1w.nii.gz
